MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
0,0.708234814,0,0.611340649
0,0.716998418,0,0.585914524
0,0.725238739,0,0.509715652
0,0.735944983,0,0.431290002
0,0.751940358,0,0.321337751
0,0.746652145,0,0.235785941
0,0.750661586,0,0.181118643
0,0.756305415,0,0.159332348
0,0.762323527,0,0.157393683
0,0.748715044,0,0.161946391
0.019853411,0.70492076,0.007592803,0.188551088
0.096522882,0.660291403,0.047144389,0.217196801
0.126081083,0.614771955,0.073295223,0.263693139
0.187507851,0.550930883,0.175876361,0.291689849
0.249457564,0.473898901,0.181594335,0.341490454
0.274087477,0.40509805,0.147756609,0.396515979
0.169780804,0.34512248,0.117527381,0.447499771
0.092067549,0.339622122,0.062823933,0.521294636
0.028708554,0.313388897,0.040776243,0.605504661
0.00071414,0.288894302,0.00569019,0.666406753
0,0.348636477,0,0.726777729
0,0.452415916,0,0.76540488
0,0.516706875,0,0.788790243
0,0.539715593,0,0.79696919
0,0.56936294,0,0.803149055
0,0.581701747,0,0.806296971
0,0.597791331,0,0.798233048
0,0.596448128,0,0.780415342
0,0.596250599,0,0.768679762
0,0.624203416,0,0.765508767
0,0.628365546,0,0.759638317
0,0.645496137,0,0.763479013
0,0.638032215,0,0.775367897
0,0.629813461,0,0.76854679
0.022830521,0.613055456,0.027858477,0.765143549
0.232290699,0.597476784,0.247233032,0.713918147
0.380313917,0.519760831,0.440105357,0.624232099
0.242837025,0.461364866,0.514425875,0.539786492
0.232036959,0.441650905,0.497885481,0.464379079
0.237629013,0.435680622,0.448630058,0.42822024
0.26703082,0.415309623,0.474536692,0.287005148
0.36958561,0.394345738,0.517519898,0.225750121
0.201780813,0.382851104,0.379225535,0.324524633
0.007423774,0.374307225,0.058410405,0.521338122
0,0.343415061,0,0.678829227
0,0.48862392,0,0.762455823
0,0.544117523,0,0.777323394
0,0.544933309,0,0.777723798
0,0.52299354,0,0.763750512
0,0.490341946,0,0.74908329
0,0.455710245,0,0.747426514
0,0.425036673,0,0.754194303
